token,mean_shap,count
westhroid ,0.0005778763443231583,1
impossible. ,0.0005661309970652356,1
medication ,0.0005613300535413954,1
"jaw, ",0.0005534663796424866,1
product. ,0.0005528368055820465,1
"legs, ",0.0005519544705748558,1
zombie,0.000524123664945364,1
"however, ",0.0005145504390104458,2
year ,0.0005129976198077202,2
me ,0.0005118792981955891,4
zanax ,0.0005013429943253012,1
poured ,0.0004688664094397896,1
body ,0.0004554949700832367,1
thought ,0.0004496541805565357,2
got ,0.00044658780097961426,2
again ,0.0004419944736929167,1
clenching ,0.00043883873149752617,1
how ,0.00043047964572906494,1
into ,0.00042395597617877155,2
change ,0.00042048096656799316,1
one ,0.00039852577332853413,3
stop ,0.0003968091267678473,1
weight ,0.0003841221332550049,1
august ,0.00038396380841732025,1
been ,0.00038222382879919475,9
all ,0.0003666440024971962,3
gain. ,0.0003457162529230118,1
due ,0.00034312542199524117,3
doctor ,0.0003386008936692687,1
came ,0.0003271273484355525,1
back ,0.0003271273484355525,1
horrible ,0.0003152894787490368,2
combination ,0.00031038373708724976,1
missed ,0.0003086104989051819,1
trouble ,0.00030643461893002194,1
amitiza ,0.0003050975501537323,1
put ,0.00029895640909671783,1
fever ,0.0002970509674577486,1
never ,0.0002893323666955295,2
tried ,0.00028473190549347136,1
implanted ,0.00028201378881931305,1
hopeless. ,0.00027715321630239487,1
after ,0.00027223055561383563,8
within ,0.00026988503164969955,1
recently ,0.0002697933954081384,2
two ,0.0002645063949258704,4
to ,0.0002623335273086839,12
significant ,0.000261871932217708,1
terms ,0.00025188084691762924,1
wish ,0.0002385745511243218,1
last ,0.00023749005049467087,1
days - ,0.00023295357823371887,1
returned ,0.00023237615823745728,1
bc ,0.00023079290986061096,1
prescribed ,0.0002258196473121643,1
2004 ,0.0002250364050269127,1
happened ,0.00022373365407640284,1
handle ,0.00022063621630271277,1
afraid ,0.0002199821174144745,1
especially ,0.00021863356232643127,1
took ,0.00021758349612355232,2
which ,0.0002046366258725232,1
weight. ,0.0001983616501092911,1
able ,0.00019194073244637136,1
prescribe,0.00019194073244637136,1
gradually ,0.00019068285249746765,1
worked ,0.0001776889413960424,2
bleeding ,0.00017290376126766205,1
june ,0.00017206091433763504,1
such ,0.0001719985157251358,1
lost ,0.0001702813431620598,1
2015 ,0.00016621313989162445,2
worse ,0.0001642312854528427,1
roll ,0.00016369856894016266,1
gotten ,0.00015248823910951614,1
results ,0.0001425024551840929,1
has ,0.00014013700525869022,6
somebody ,0.00013885509810949626,1
effect ,0.0001255902461707592,2
actually ,0.00012422557920217515,1
ago ,0.00011855357637008031,1
before ,0.0001183999702334404,2
5 ,0.000117918931036478,4
"day, ",0.00010776147246360779,1
weeks. ,0.00010333783351458036,1
hospitalized ,9.19736921787262e-05,1
spotting ,9.096087887883186e-05,1
return ,8.830200466844771e-05,1
enough ,8.70908767759026e-05,1
feelings ,8.682161569595337e-05,1
twice ,8.617870901760303e-05,1
saw ,8.410480446540393e-05,1
matter ,8.178659175571643e-05,1
what ,8.178659175571643e-05,1
on. ,8.076988160610199e-05,1
time ,8.068187162280083e-05,2
"med, ",7.9350546002388e-05,1
itching ,7.855892181396484e-05,1
pms ,7.624365389347076e-05,1
cerebri. ,7.073301821947098e-05,1
if ,6.593950092792511e-05,1
being ,6.564384435906129e-05,1
weeks ,6.422027945518494e-05,1
capsules ,6.246939301490784e-05,1
med ,6.22207298874855e-05,1
withdrawal ,5.754145483175914e-05,1
just ,5.540717393159866e-05,1
side ,5.38191654615932e-05,3
save ,5.352497100830078e-05,1
making ,5.255080759525299e-05,1
by ,5.148493108295259e-05,2
period ,5.068909376859665e-05,2
terribly ,4.9014467942087275e-05,1
nauseous ,4.9014467942087275e-05,1
hsv2 ,4.342477768659592e-05,1
heavy ,4.277322441339493e-05,1
accompanied ,4.177380885396685e-05,1
life. ,4.119798541069031e-05,1
weird ,4.038587212562561e-05,1
worse. ,3.977585583925247e-05,1
from ,3.947410732507706e-05,1
january ,3.752135671675205e-05,2
right ,3.655068576335907e-05,1
then ,3.6444165743887424e-05,4
terrible. ,3.5060569643974304e-05,1
dupixient ,3.469735383987427e-05,1
better ,3.3791642636060715e-05,2
early ,3.3161137253046036e-05,1
"released, ",3.171619027853012e-05,1
whole ,3.086775541305542e-05,1
went ,3.076205030083656e-05,2
few ,3.0664333070699984e-05,2
med. ,3.0209931234518688e-05,1
day ,3.012889407542877e-05,3
starting ,2.8786249458789825e-05,1
done ,2.8452835977077484e-05,1
med,2.7824193239212036e-05,1
repeated ,2.753268927335739e-05,1
abstinence ,2.691522240638733e-05,1
as ,2.661440521478653e-05,2
week ,2.632010728120804e-05,1
days ,2.593950678904851e-05,3
movements ,2.548036475976308e-05,1
lose ,2.5278888642787933e-05,1
very ,2.5278888642787933e-05,1
"up"" ",2.2782012820243835e-05,1
bowel ,2.273482580979665e-05,1
away ,2.1556392312049866e-05,1
part ,2.0254403352737427e-05,1
per ,1.95968896150589e-05,1
igg ,1.9543804228305817e-05,2
4 ,1.780032180249691e-05,2
"days, ",1.6623841864722116e-05,1
negative. ,1.55596062541008e-05,1
any ,1.546329567356715e-05,1
hospital ,1.523829996585846e-05,1
240mcg. ,1.3088807463645935e-05,1
time. ,1.1747702956199646e-05,1
did. ,1.1481638801725286e-05,1
